area_type,availability,location,size,bath,balcony,price,bhk,total_sqft,price_per_sqft
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,2.0,1.0,39.07,2,1056.0,3699.810606060606
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,5.0,3.0,120.0,4,2600.0,4615.384615384615
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,2.0,3.0,62.0,3,1440.0,4305.555555555556
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,3.0,1.0,95.0,3,1521.0,6245.890861275477
Super built-up  Area,Ready To Move,Kothanur,2 BHK,2.0,1.0,51.0,2,1200.0,4250.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2.0,1.0,38.0,2,1170.0,3247.863247863248
Super built-up  Area,18-May,Old Airport Road,4 BHK,4.0,2.0,204.0,4,2732.0,7467.0571010248905
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,4.0,2.0,600.0,4,3300.0,18181.81818181818
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,3.0,1.0,63.25,3,1310.0,4828.244274809161
Plot  Area,Ready To Move,Other,6 Bedroom,6.0,2.0,370.0,6,1020.0,36274.509803921566
Super built-up  Area,18-Feb,Whitefield,3 BHK,2.0,2.0,70.0,3,1800.0,3888.8888888888887
Plot  Area,Ready To Move,Whitefield,4 Bedroom,5.0,3.0,295.0,4,2785.0,10592.45960502693
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,2.0,1.0,38.0,2,1000.0,3800.0
Built-up  Area,Ready To Move,Gottigere,2 BHK,2.0,2.0,40.0,2,1100.0,3636.3636363636365
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,3.0,2.0,148.0,3,2250.0,6577.777777777777
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,2.0,2.0,73.5,2,1175.0,6255.31914893617
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,3.0,2.0,48.0,3,1180.0,4067.7966101694915
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,3.0,3.0,60.0,3,1540.0,3896.103896103896
Super built-up  Area,Ready To Move,Other,3 BHK,4.0,2.0,290.0,3,2770.0,10469.314079422382
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,2.0,48.0,2,1100.0,4363.636363636364
Built-up  Area,Ready To Move,Kengeri,1 BHK,1.0,1.0,15.0,1,600.0,2500.0
Super built-up  Area,19-Dec,Binny Pete,3 BHK,3.0,1.0,122.0,3,1755.0,6951.5669515669515
Plot  Area,Ready To Move,Thanisandra,4 Bedroom,5.0,2.0,380.0,4,2800.0,13571.42857142857
Super built-up  Area,Ready To Move,Bellandur,3 BHK,3.0,1.0,103.0,3,1767.0,5829.088851160159
Super built-up  Area,18-Nov,Thanisandra,1 RK,1.0,0.0,25.25,1,510.0,4950.980392156863
Super built-up  Area,18-May,Other,3 BHK,3.0,2.0,56.0,3,1250.0,4480.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1.0,1.0,23.1,2,660.0,3500.0
Built-up  Area,20-Dec,Whitefield,3 BHK,3.0,2.0,81.0,3,1610.0,5031.055900621118
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,2.0,2.0,48.77,2,1151.0,4237.185056472633
Super built-up  Area,Ready To Move,Electronic City,3 BHK,2.0,1.0,47.0,3,1025.0,4585.365853658536
Super built-up  Area,19-Dec,Yelahanka,4 BHK,4.0,0.0,186.0,4,2475.0,7515.151515151515
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,2.0,1.0,35.0,3,1075.0,3255.813953488372
Super built-up  Area,Ready To Move,Hebbal,3 BHK,2.0,2.0,123.0,3,1760.0,6988.636363636364
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,3.0,3.0,57.39,3,1693.0,3389.84051978736
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,3.0,2.0,125.0,3,1925.0,6493.506493506494
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,2.0,1.0,36.0,2,700.0,5142.857142857143
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,2.0,1.0,45.5,2,1070.0,4252.336448598131
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,3.0,2.0,125.0,3,1724.0,7250.580046403712
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,2.0,2.0,56.12,3,1290.0,4350.387596899225
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,2.0,2.0,45.0,2,1143.0,3937.0078740157483
